movie_index,genres,keywords,production_year,title,director,writer,actors
2840,Drama Comedy,comedian interview reporter movie star fianc\u00e9 fianc\u00e9e relationship,2014,top five,chrisrock,chrisrock,"chrisrock,rosariodawson,j.b.smoove,gabrielleunion"
2841,Horror Science Fiction,monster mutant toxic native american environmental,1979,prophecy,johnfrankenheimer,davidseltzer,"taliashire,robertfoxworth,armandassante,richarddysart"
2842,Horror Mystery Thriller,secret obsession paranoia grave haunted house,1999,stir of echoes,davidkoepp,"richardmatheson ,davidkoepp ","zacharydavidcope,kevinbacon,kathrynerbe,illeanadouglas"
2843,Drama,mother washington d.c. journalist adoption forgiveness,2013,philomena,stephenfrears,"stevecoogan ,jeffpope ,martinsixsmith(book)","judidench,stevecoogan,sophiekennedyclark,marewinningham"
2844,Comedy Drama,sex lie college funeral friendship,2005,the upside of anger,mikebinder,mikebinder,"joanallen,kevincostner,erikachristensen,kerirussell"
2845,Horror Drama Thriller Science Fiction,paraguay mengele nazi hunter third reich,1978,the boys from brazil,franklinj.schaffner,"iralevin ,heywoodgould ","gregorypeck,laurenceolivier,jamesmason,lillipalmer"
2846,Fantasy Romance Family Comedy,female friendship mermaid teenager woman director,2006,aquamarine,elizabethallenrosenbaum,"johnquaintance ,jessicabendinger ,alicehoffman ","emmaroberts,jojo,sarapaxton,jakemcdorman"
2847,Drama Mystery Romance,friendship high school teenager classmate based on young adult novel,2015,paper towns,jakeschreier,"scottneustadter ,michaelh.weber ,johngreen(basedonthebookby)","natwolff,caradelevingne,austinabrams,justicesmith"
2848,Comedy,birth expectant mother fatherhood baby born woman director,2004,my baby's daddy,cheryldunye,"eddiegriffin,cokedaniels,brentgoldberg,davidwagner","eddiegriffin,anthonyanderson,michaelimperioli,paulajaiparker"
2849,Drama Adventure,montana small town dementia aging road trip,2013,nebraska,alexanderpayne,bobnelson,"brucedern,willforte,junesquibb,bobodenkirk"
2850,Horror Comedy Thriller,prostitute key jesus christ chosen one god,1995,tales from the crypt: demon knight,ernestr.dickerson,"ethanreiff,cyrusvoris,markbishop","johnkassir,billyzane,williamsadler,jadapinkettsmith"
2851,Comedy Family Fantasy Science Fiction,,2001,max keeble's big move,timhill,"davidl.watts ,jonathanbernstein ,markblackwell ,jamesgreer ,jonathanbernstein ,markblackwell ,jamesgreer ","alexd.linz,larrymiller,jamiekennedy,zenagrey"
2852,Comedy Drama,jealousy dark comedy writer divorce alcoholic,2011,young adult,jasonreitman,diablocody,"charlizetheron,pattonoswalt,patrickwilson,elizabethreaser"
2853,Action Thriller Crime,poison helicopter assassin nudity hitman,2006,crank,"markneveldine,briantaylor","markneveldine,briantaylor","jasonstatham,amysmart,josepablocantillo,efrenramirez"
2854,Comedy Romance,sex party friends player,1997,how to be a player,lionelc.martin,"markbrown ,markbrown ,demetriajohnson ","billbellamy,nataliedessellereid,larkvoorhies,marimorrow"
2855,Comedy Drama Romance,female protagonist relationship divorce brooklyn bridge,1998,living out loud,richardlagravenese,richardlagravenese,"hollyhunter,dannydevito,queenlatifah,martindonovan"
2856,Comedy Drama Romance,woman director,2010,just wright,sanaahamri,michaelelliot,"queenlatifah,common,paulapatton,jamespickensjr."
2857,Drama,sister independent film maid of honor,2008,rachel getting married,jonathandemme,jennylumet,"sebastianstan,roslynruff,annehathaway,billirwin"
2858,Romance Crime Drama,sex adultery confession based on novel obsession,1981,the postman always rings twice,bobrafelson,"jamesm.cain ,davidmamet ","jacknicholson,jessicalange,johncolicos,michaellerner"
2859,Drama Romance,painter biography painting maid,2003,girl with a pearl earring,peterwebber,"tracychevalier ,oliviahetreed ","colinfirth,scarlettjohansson,tomwilkinson,judyparfitt"
2860,Action Drama History War Adventure,terror submarine based on novel atlantic ocean gibraltar,1981,das boot,wolfgangpetersen,"wolfgangpetersen ,lotharg.buchheim ","jã¼rgenprochnow,herbertgrã¶nemeyer,klauswennemann,hubertusbengsch"
2861,Comedy,sorority cross dressing university t shirt sorority girl,2002,sorority boys,wallacewolodarsky,"joejarvis,gregcoolidge","barrywatson,michaelrosenbaum,harlandwilliams,melissasagemiller"
2862,Comedy Drama Science Fiction,london england father son relationship time travel,2013,about time,richardcurtis,richardcurtis,"domhnallgleeson,rachelmcadams,billnighy,lydiawilson"
2863,Adventure Drama Action Romance,martial arts swordplay government rebellion dagger,2004,house of flying daggers,yimouzhang,"fengli,binwang,yimouzhang","takeshikaneshiro,andylau,ziyizhang,dandansong"
2864,Drama Thriller,cover-up hedge fund,2012,arbitrage,nicholasjarecki,nicholasjarecki,"richardgere,susansarandon,timroth,britmarling"
2865,Science Fiction Thriller,time travel time machine teenager found footage,2015,project almanac,deanisraelite,"jasonpagan,andrewdeutschman","jonnyweston,sofiablack-d'elia,samlerner,allenevangelista"
2866,Drama History Music,woman director,2008,cadillac records,darnellmartin,darnellmartin,"joshalscher,timbellow,tonybentley,tammyblanchard"
2867,Action Comedy,,2000,screwed,"scottalexander,larrykaraszewski","scottalexander,larrykaraszewski","normmacdonald,davechappelle,elainestritch,dannydevito"
2868,Action Thriller Science Fiction,prison cyborg married couple future dystopia,1992,fortress,stuartgordon,"troyneighbors ,stevenfeinberg ,troyneighbors ,stevenfeinberg ,davidvenable ,terrycurtisfox ","christopherlambert,kurtwoodsmith,lorynlocklin,cliftoncollinsjr."
2869,Comedy Drama,,2006,for your consideration,christopherguest,"christopherguest,eugenelevy","catherineo'hara,stephenrannazzisi,edbegleyjr.,eugenelevy"
2870,Drama Comedy,exzentrik independent film reporter ex-wife spectacle,1998,celebrity,woodyallen,woodyallen,"gregmottola,jeffmazzola,dickmingalone,vladimirbibic"
2871,Drama Comedy,gay sister sister relationship wife husband relationship 1970s becoming an adult,2006,running with scissors,ryanmurphy,"ryanmurphy ,augustenburroughs(book)","annettebening,briancox,josephfiennes,evanrachelwood"
2872,Comedy Romance,musical,2003,from justin to kelly,robertiscove,kimfuller,"kellyclarkson,justinguarini,katherinebailess,anikanonirose"
2873,Comedy,independent film neighbor masturbation phone sex actress,1996,girl 6,spikelee,suzan-loriparks,"theresarandle,isaiahwashington,spikelee,jeniferlewis"
2874,Mystery Thriller,eroticism suspense woman director,2003,in the cut,janecampion,"janecampion ,susannamoore ,susannamoore ,stavroskazantzidis(additionalwriter)","jenniferjasonleigh,megryan,michaelnuccio,allisonnega"
2875,Drama Romance,love of one's life neighbor,2008,two lovers,jamesgray,"jamesgray,ricmenello","joaquinphoenix,annejoyce,elliotvillar,craigwalker"
2876,Comedy Drama,based on novel war veteran male friendship death of a friend friendship,2001,last orders,fredschepisi,"grahamswift ,fredschepisi","michaelcaine,tomcourtenay,davidhemmings,bobhoskins"
2877,Horror Drama Science Fiction,river mobile phone bravery archer daughter,2006,the host,bongjoonho,"bongjoonho ,won-junha ,chul-hyunbaek ","kang-hosong,hee-bongbyun,hae-ilpark,doonabae"
2878,Adventure Crime Thriller,,1981,the pursuit of d.b. cooper,"rogerspottiswoode,buzzkulik","j.d.reed(book),jeffreyalanfiskin ","robertduvall,treatwilliams,kathrynharrold,edflanders"
2879,Comedy Horror Thriller Western,winter cliff cooking cave nudity,1999,ravenous,antoniabird,tedgriffin,"guypearce,robertcarlyle,davidarquette,jeremydavies"
2880,Comedy Drama,depression suicide attempt medicine new love drug addiction,2007,charlie bartlett,jonpoll,gustinnash,"antonyelchin,robertdowneyjr.,hopedavis,katdennings"
2881,Comedy Drama,alcohol rome vatican based on novel birthday,2013,the great beauty,paolosorrentino,"paolosorrentino ,paolosorrentino ,umbertocontarello ","toniservillo,carloverdone,sabrinaferilli,carlobuccirosso"
2882,Comedy Drama,independent film,2002,the dangerous lives of altar boys,petercare,"chrisfuhrman(book),jeffstockwell ,michaelpetroni ","emilehirsch,kieranculkin,vincentd'onofrio,jenamalone"
2883,Drama Horror Thriller,mystery,2013,stoker,chan-wookpark,wentworthmiller,"miawasikowska,nicolekidman,davidalford,matthewgoode"
2884,Fantasy Drama Science Fiction Romance,free love hotel lovesickness sexuality kung fu,2004,2046,kar-waiwong,kar-waiwong ,"tonychiu-waileung,ligong,fayewong,takuyakimura"
2885,Crime Drama Romance,sex jealousy lover (female) restaurant deceived husband,2007,married life,irasachs,"irasachs ,orenmoverman ,johnbingham(book)","chriscooper,annabelkershaw,piercebrosnan,patriciaclarkson"
2886,Adventure Drama Family,adolescence loss of father lion south africa bullying,2005,duma,carrollballard,"carolcawthrahopcraft(book),xanhopcraft(book),carolflint ,karenjanszen ,karenjanszen ,markst.germain ","alexmichaeletos,campbellscott,marymakhatho,nthabisengkenoshi"
2887,Drama Romance,alcohol mermaid wedding dress fishing net selkie,2009,ondine,neiljordan,neiljordan,"colinfarrell,alicjabachleda,dervlakirwan,alisonbarry"
2888,Crime Drama Thriller,brother brother relationship assassination culture clash war on drugs yakuza,2000,brother,takeshikitano,takeshikitano,"takeshikitano,omarepps,claudemaki,masayakatã´"
2889,Comedy,safe remake heist inner city,2002,welcome to collinwood,"anthonyrusso,joerusso","anthonyrusso ,joerusso ","williamh.macy,isaiahwashington,samrockwell,michaeljeter"
2890,Comedy Drama,nun satire hospital half sister,1997,critical care,sidneylumet,"richarddooling ,stevenschwartz ","jamesspader,kyrasedgwick,helenmirren,annebancroft"
2891,Thriller Drama Mystery,suspense,2007,the life before her eyes,vadimperelman,"laurakasischke ,emilstern ","umathurman,evanrachelwood,evaamurrimartino,gabriellebrennan"
2892,Drama Romance,aftercreditsstinger,2012,darling companion,lawrencekasdan,"megkasdan,lawrencekasdan","dianekeaton,kevinkline,diannewiest,richardjenkins"
2893,Drama Thriller,usa sex brother sister relationship mexico city border,2007,trade,marcokreuzpaintner,"joserivera ,peterlandesman ,joserivera ,peterlandesman(article)","kevinkline,cesarramos,alicjabachleda,paulinagaitan"
2894,War Drama,budapest hungary concentration camp world war ii,2005,fateless,lajoskoltai,"imrekertã©sz ,imrekertã©sz ","marcellnagy,bã©ladã³ra,bã¡lintpã©ntek,ãrondimã©ny"
2895,Comedy,wife husband relationship success author extramarital affair,1999,breakfast of champions,alanrudolph,"kurtvonnegutjr.(book),alanrudolph ","brucewillis,albertfinney,nicknolte,barbarahershey"
2896,Comedy Drama Thriller,,2009,"a woman, a gun and a noodle shop",yimouzhang,"zhengchaoxu ,jianquanshi ,xiaofengzhou(storyconsultant),ethancoen(basedonhisscreenplayfor""bloodsimple""),joelcoen(basedonhisscreenplayfor""bloodsimple"")","hongleisun,shenyangxiao,niyan,dahongni"
2897,Thriller Science Fiction Mystery,double life undercover lie wife company,2002,cypher,vincenzonatali,brianking,"jeremynortham,lucyliu,nigelbennett,timothywebber"
2898,Drama History War,war crimes mass murder war victim sino japanese war massacre,2009,city of life and death,chuanlu,chuanlu,"yeliu,yuanyuangao,weifan,lanqin"
2899,Animation Family Action Adventure Comedy,,2011,legend of kung fu rabbit,"lijunsun,melaniesimka","melaniesimka(englishadaptation),mychalsimka(englishadaptation),jingzhizou","jonheder,tomarnold,rebeccablack,clairegeare"
2900,Science Fiction,,2010,space battleship yamato,takashiyamazaki,"leijimatsumoto(manga),shimakosato ,yoshinobunishizaki ","takuyakimura,meisakuroki,toshirã´yanagiba,naotoogata"
2901,War Drama,journalist interpreter georgia europe war zone,2011,5 days of war,rennyharlin,"mikkoalanne ,davidbattle(basedonascreenplayby)","rupertfriend,emmanuellechriqui,richardcoyle,heathergraham"
2902,Horror,ocean florida autism key yacht,2009,triangle,christophersmith,christophersmith,"melissageorge,joshuamcivor,jacktaylor,michaeldorman"
2903,Drama,undercover insane asylum reporter,2015,10 days in a madhouse,timothyhines,timothyhines,"carolinebarry,christopherlambert,kellylebrock,juliachantrey"
2904,Drama,based on novel faith based on true events,2014,heaven is for real,randallwallace,"randallwallace ,chrisparker ,toddburpo(book),lynnvincent(book)","gregkinnear,kellyreilly,thomashadenchurch,connorcorum"
2905,Thriller Crime,gypsy bare knuckle boxing slang trailer park pig,2000,snatch,guyritchie,guyritchie,"beniciodeltoro,dennisfarina,vinniejones,bradpitt"
2906,Drama Romance,dancing competition hotel florida dance teacher,2015,dancin' it's on,davidwinters,"davida.prior,davidwinters","garydaniels,witneycarson,davidwinters,avafabian"
2907,Drama Horror,coffin pet funeral head injury grief,1989,pet sematary,marylambert,"stephenking ,stephenking ","dalemidkiff,fredgwynne,denisecrosby,bradgreenquist"
2908,Drama,,1993,maadadayo,akirakurosawa,"akirakurosawa,hyakkenuchida(essays)","tatsuomatsumura,hisashiigawa,georgetokoro,masayukiyui"
2909,Drama,suspense,2009,the cry of the owl,jamiethraves,"jamiethraves,patriciahighsmith ","paddyconsidine,juliastiles,karlpruner,phillipmackenzie"
2910,Drama History Romance,woman director,2015,a tale of three cities,mabelcheung,"mabelcheung,alexlaw","chingwanlau,weitang,hailuqin,boranjing"
2911,Fantasy Horror Comedy,holiday monster small town department store bars and restaurants,1984,gremlins,joedante,chriscolumbus,"hoytaxton,johnlouie,keyeluke,donsteele"
2912,Adventure Action Science Fiction,android galaxy hermit death star lightsaber,1977,star wars,georgelucas,georgelucas,"markhamill,harrisonford,carriefisher,petercushing"
2913,Comedy,grandfather grandson relationship grandfather road trip wedding retired,2016,dirty grandpa,danmazer,johnphillips,"robertdeniro,zacefron,zoeydeutch,aubreyplaza"
2914,Drama Romance War,love triangle nurse suicide attempt loss of family world war i,1965,doctor zhivago,davidlean,"borispasternak ,robertbolt ","omarsharif,juliechristie,geraldinechaplin,rodsteiger"
2915,Adventure Crime Drama Thriller,brazilian drama thriller,2014,trash,"stephendaldry,christianduurvoort(co-director)","andymulligan(basedonthenovelby),felipebraga(additionalmaterial),richardcurtis ","ricksontevez,wagnermoura,josã©dumont,danielzettel"
2916,Comedy Drama Family Music Romance,musical music high school coming of age teenager,2008,high school musical 3,kennyortega,"peterbarsocchini,peterbarsocchini ","zacefron,vanessahudgens,ashleytisdale,lucasgrabeel"
2917,Drama,sport irish american documentary crew lowell massachusetts blue collar worker,2010,the fighter,davido.russell,"scottsilver ,paultamasy ,ericjohnson ,paultamasy ,ericjohnson ,keithdorrington ","markwahlberg,christianbale,amyadams,melissaleo"
2918,Action Comedy Documentary,wound disgust pain stunts stuntman,2006,jackass number two,jefftremaine,"jefftremaine(televisionseries""jackass""),spikejonze(televisionseries""jackass""),johnnyknoxville(televisionseries""jackass""),jefftremaine(conceptsby),johnnyknoxville(conceptsby),bammargera(conceptsby),steve-o(conceptsby),chrispontius(conceptsby),ryandunn(conceptsby),jason'weeman'acuã±a(conceptsby),prestonlacy(conceptsby),daveengland(conceptsby),ehrenmcghehey(conceptsby),marklewman(conceptsby),dimitryelyashkevich(conceptsby),alwalker(conceptsby),brandondicamillo(conceptsby),darrinprescott(conceptsby),davidweathers(conceptsby),garyleffew(conceptsby),juicyj(conceptsby),loomisfall(conceptsby),scottrogers(conceptsby),seancliver(conceptsby),spikejonze(conceptsby),thordrake(conceptsby),whiteymcconnaughy(conceptsby),prestonlacy(additionalscenes)","johnnyknoxville,bammargera,steve-o,chrispontius"
2919,Comedy Drama,prison southern usa suspicion cousin court,1992,my cousin vinny,jonathanlynn,dalelauner,"joepesci,ralphmacchio,marisatomei,mitchellwhitfield"
2920,Drama,coma musician teenage girl car accident teenager,2014,if i stay,r.j.cutler,"shaunacross ,gayleforman ","chloã«gracemoretz,mireilleenos,jamieblackley,joshualeonard"
2921,Action Comedy Crime,,2014,drive hard,briantrenchard-smith,"chadlaw,evanlaw,brigittejeanallen ,briantrenchard-smith ","johncusack,thomasjane,zoeventoura,christophermorris"
2922,Comedy,baseball sport sabotage sombrero baseball field,1989,major league,davids.ward,davids.ward,"tomberenger,charliesheen,corbinbernsen,margaretwhitton"
2923,Comedy Family Science Fiction,solidarity snake exhibit musical shenanigan,2007,st. trinian's,"oliverparker,barnabythompson","piersashworth ,jamieminoprio(additionalmaterial),nickmoorcroft ,ronaldsearle(cartoons),jonathanm.stern(additionalmaterial)","talulahriley,ruperteverett,jodiewhittaker,gemmaarterton"
2924,Thriller Drama,terrorist phone booth psychopath,2002,phone booth,joelschumacher,larrycohen,"colinfarrell,kiefersutherland,forestwhitaker,radhamitchell"
2925,Drama Romance,based on novel theatre group north carolina theatre milieu high school,2002,a walk to remember,adamshankman,"nicholassparks ,karenjanszen ","shanewest,mandymoore,petercoyote,darylhannah"
2926,Drama,prison rape socially deprived family penalty death penalty,1995,dead man walking,timrobbins,"helenprejean(book),timrobbins","susansarandon,seanpenn,robertprosky,raymondj.barry"
2927,Drama Romance Thriller,upper class sexual obsession sex bet sadistic,1999,cruel intentions,rogerkumble,"choderlosdelaclos ,rogerkumble ","sarahmichellegellar,ryanphillippe,reesewitherspoon,selmablair"
2928,Horror Mystery,aftercreditsstinger,2009,saw vi,kevingreutert,"patrickmelton ,marcusdunstan ","tobinbell,costasmandylor,markrolston,betsyrussell"
2929,Comedy,moses roman empire musical stone age music,1981,history of the world: part i,melbrooks,melbrooks,"melbrooks,domdeluise,madelinekahn,harveykorman"
2930,Adventure,woman director,2008,the secret life of bees,ginaprince-bythewood,"ginaprince-bythewood ,suemonkkidd ","dakotafanning,queenlatifah,jenniferhudson,aliciakeys"
2931,Action Comedy Crime,,2001,corky romano,robpritts,"davidgarrett,jasonward","chriskattan,vinessashaw,peterfalk,peterberg"
2932,Drama Horror Thriller Crime,,1992,raising cain,briandepalma,briandepalma,"johnlithgow,lolitadavidovich,stevenbauer,francessternhagen"
2933,Drama Action,,1978,f.i.s.t.,normanjewison,"joeeszterhas ,joeeszterhas ,sylvesterstallone ","sylvesterstallone,rodsteiger,peterboyle,melindadillon"
2934,Science Fiction,space invasion remake alien invasion,1986,invaders from mars,tobehooper,"richardblake(basedonascreenplayby),dano'bannon ,donjakoby ","karenblack,huntercarson,timothybottoms,larainenewman"
2935,Drama Romance,love triangle based on novel homesickness vororte ship,2015,brooklyn,johncrowley,"nickhornby,colmtã³ibã­n ","saoirseronan,hughgormley,bridbrennan,maevemcgrath"
2936,Drama Romance War,palace british army fencing epic debt,1975,barry lyndon,stanleykubrick,"stanleykubrick(writtenforthescreenby),williammakepeacethackeray ","ryano'neal,marisaberenson,patrickmagee,hardykrã¼ger"
2937,Comedy,manager alcohol races mountains gondola,2001,out cold,"brendanmalloy,emmettmalloy",jonzack,"flexalexander,a.j.cook,daviddenman,carolinedhavernas"
2938,Comedy,female nudity tattoo radio cheat on husband eating contest,2000,the ladies man,reginaldhudlin,"timmeadows,dennismcnicholas,andrewsteele","timmeadows,karynparsons,billydeewilliams,johnwitherspoon"
2939,Drama Comedy Romance,musician concert retired,2012,quartet,dustinhoffman,"ronaldharwood(basedontheplayby),ronaldharwood ","maggiesmith,tomcourtenay,billyconnolly,paulinecollins"
2940,Comedy Romance,compulsive gambling roulette stag night group of friends,2001,tomcats,gregorypoirier,gregorypoirier,"jerryo'connell,shannonelizabeth,jakebusey,horatiosanz"
2941,Drama Thriller Crime,angel sheriff loss of mother 1970s texas,2001,frailty,billpaxton,brenthanley,"billpaxton,matthewmcconaughey,powersboothe,matto'leary"
2942,Drama,nazis based on true story art stolen painting,2015,woman in gold,simoncurtis,"alexikayecampbell,e.randolschoenberg(lifestory),mariaaltmann(lifestory)","helenmirren,ryanreynolds,danielbrã¼hl,katieholmes"
2943,Drama,free love sex sexuality indiana professor,2004,kinsey,billcondon,billcondon,"liamneeson,lauralinney,chriso'donnell,petersarsgaard"
2944,Fantasy Horror Comedy,prophecy witch swordplay supermarket castle,1992,army of darkness,samraimi,"samraimi,ivanraimi","brucecampbell,embethdavidtz,marcusgilbert,ianabercrombie"
2945,Comedy Romance,male nudity drug abuse job interview eavesdropping fall,2002,slackers,deweynicks,davidh.steinberg,"devonsawa,jasonsegel,michaelc.maronna,jasonschwartzman"
2946,Romance Drama,brother brother relationship mentally disabled iowa widow dysfunctional family,1993,what's eating gilbert grape,lassehallstrã¶m,"peterhedges ,peterhedges ","johnnydepp,leonardodicaprio,juliettelewis,marysteenburgen"
2947,Drama History,miracle jesus christ last supper bible christian,2003,the visual bible: the gospel of john,philipsaville,johngoldsmith ,"christopherplummer,henryiancusick,stuartbunce,danielkash"
2948,Crime Drama,england mother role women's prison police neighbor,2004,vera drake,mikeleigh,mikeleigh,"imeldastaunton,richardgraham,eddiemarsan,annakeaveney"
2949,Comedy Romance,sex indian lead dancing master new love porn actor,2002,the guru,daisyvonscherlermayer,traceyjackson,"jimimistry,heathergraham,marisatomei,michaelmckean"
2950,Comedy Drama Romance,immigration independent film woman director political prisoner cuban refugees,1995,the perez family,miranair,"christinebell ,robinswicord ","marisatomei,alfredmolina,anjelicahuston,chazzpalminteri"
2951,Drama Music,folk music performance aspiring singer new york city recording,2013,inside llewyn davis,"ethancoen,joelcoen","joelcoen,ethancoen","oscarisaac,careymulligan,justintimberlake,ethanphillips"
2952,Drama Romance Thriller,sex jealousy girlfriend high school columbine,2001,o,timblakenelson,"williamshakespeare(play),bradkaaya ","mekhiphifer,martinsheen,joshhartnett,andrewkeegan"
2953,Drama Adventure Romance,island marooned pacific island teenager deserted island,1991,return to the blue lagoon,williama.graham,"henrydeverestacpoole(book),lesliestevens ","millajovovich,briankrause,lisapelikan,courtneybarilla"
2954,Drama History,pennsylvania miner coal mining coal mine pennsylvania coal miner,1970,the molly maguires,martinritt,"arthurh.lewis(suggestedbyabookby),walterbernstein","seanconnery,richardharris,samanthaeggar,frankfinlay"
2955,Comedy Music Romance,infidelity lovers working class new york city,2005,romance & cigarettes,johnturturro,johnturturro,"jamesgandolfini,susansarandon,katewinslet,stevebuscemi"
2956,Drama,beethoven woman director,2006,copying beethoven,agnieszkaholland,"stephenj.rivele,christopherwilkinson","dianekruger,ralphriach,matyelokgibbs,edharris"
2957,Drama Thriller Crime,waitress riot gang war nightmare prayer,2010,brighton rock,rowanjoffe,"rowanjoffe,grahamgreene ","samriley,andreariseborough,helenmirren,johnhurt"
2958,Horror Thriller Crime,blood splatter serial killer pig mask nazi jigsaw,2008,saw v,davidhackl,"patrickmelton ,marcusdunstan ","tobinbell,costasmandylor,scottpatterson,betsyrussell"
2959,Drama Action Thriller Crime Foreign,mobster,1969,machine gun mccain,giulianomontaldo,"minoroli ,oviddemaris(freelybasedonthenovel""candyleg""by),minoroli ,israelhorovitz(dialogue)","johncassavetes,brittekland,peterfalk,gabrieleferzetti"
2960,Drama Comedy Romance,coming of age mother daughter relationship teen movie teenager based on film,2012,lol,lisaazuelos,"lisaazuelos ,kamiraã¯nouz ,lisaazuelos(film""lol[laughingoutloud]â®""),nansdelgado(film""lol[laughingoutloud]â®"")","jean-lucbilodeau,douglasbooth,vivianleborgne,bridgetbrown"
2961,Crime Drama Mystery Thriller,small town fishing male friendship australia marriage crisis,2006,jindabyne,raylawrence,"beatrixchristian,raymondcarver(shortstory""somuchwatersoclosetohome"")","chrishaywood,tateareilly,lauralinney,seanrees-wemyss"
2962,Drama Romance,adultery extramarital affair,2006,kabhi alvida naa kehna,karanjohar,"karanjohar ,shibanibathija ,karanjohar ,niranjaniyengar(dialogue)","amitabhbachchan,shahrukhkhan,abhishekbachchan,ranimukerji"
2963,Drama Comedy Romance,,1999,an ideal husband,oliverparker,"oscarwilde(play),oliverparker ","petervaughan,ruperteverett,minniedriver,cateblanchett"
2964,Science Fiction Thriller Horror,mars science fiction zombie,2013,the last days on mars,ruairirobinson,"sydneyj.bounds(shortstory),clivedawson ","lievschreiber,eliaskoteas,romolagarai,oliviawilliams"
2965,Horror,loss of child solar eclipse haunted house family psychopathy,2002,darkness,jaumebalaguerã³,"jaumebalaguerã³,fernandodefelipe,migueltejada-flores(additionaldialogue)","annapaquin,lenaolin,iainglen,giancarlogiannini"
2966,Science Fiction Mystery Adventure,moon jupiter artificial intelligence man vs machine technology,1968,2001: a space odyssey,stanleykubrick,"stanleykubrick ,arthurc.clarke ","keirdullea,garylockwood,williamsylvester,danielrichter"
2967,Science Fiction Adventure Family Fantasy,farewell homesickness nasa extraterrestrial technology operation,1982,e.t. the extra-terrestrial,stevenspielberg,melissamathison,"deewallace,henrythomas,petercoyote,robertmacnaughton"
2968,Romance Comedy Drama,infidelity party love cancer neighbor,2007,in the land of women,jonathankasdan,jonathankasdan,"elenaanaya,adambrody,kelseykeel,daniellesavre"
2969,Adventure Drama Family,rain butterfly rainforest woman director insects,2004,the blue butterfly,lã©apool,petemccormack ,"williamhurt,pascalebussiã¨res,marcdonato,raoulmaxtrujillo"
2970,Drama Comedy,,1994,there goes my baby,floydmutrux,floydmutrux,"dermotmulroney,rickyschroder,kelliwilliams,noahwyle"
2971,Drama Comedy Romance Foreign,,2010,housefull,sajidkhan,"anvitaduttguptan(dialogues),sajidkhan ,sajidnadiadwala ,sameer(lyrics),vibhasingh ,milapzaveri ","akshaykumar,deepikapadukone,riteishdeshmukh,laradutta"
2972,Drama Action History Western Romance,,2007,september dawn,christophercain,"christophercain,carolewhangschutter","terencestamp,trentford,krisindacain,shaunjohnston"
2973,History Drama,duringcreditsstinger,2012,for greater glory - the true story of cristiada,deanwright,michaellove,"mauriciokuri,adrianalonso,rubã©nblades,catalinasandinomoreno"
2974,Comedy Drama Music,deafness music coming of age teenage girl singing,2014,la famille bélier,ericlartigau,"victoriabedos(originalidea),victoriabedos(scenario),stanislascarrédemalberg(scenario),ericlartigau(adaptation),thomasbidegain(adaptation)","karinviard,françoisdamiens,ericelmosnino,louaneemera"
2975,Drama,baseball boston professor m.i.t. harvard university,1997,good will hunting,gusvansant,"mattdamon,benaffleck","mattdamon,benaffleck,stellanskarsgã¥rd,johnmighton"
2976,Drama Thriller,,2016,misconduct,shintaroshimosawa,"simonboyes,adammason","joshduhamel,anthonyhopkins,alpacino,aliceeve"
2977,Horror Thriller Crime,brain tumor nudity suffocation mutilation severed foot,2006,saw iii,darrenlynnbousman,"leighwhannell ,jameswan ,leighwhannell ","tobinbell,shawneesmith,angusmacfadyen,baharsoomekh"
2978,Action Comedy,date ex-girlfriend u.s. army military spoof,1981,stripes,ivanreitman,"lenblum,danielgoldberg,haroldramis","billmurray,haroldramis,warrenoates,p.j.soles"
2979,Comedy,cheerleader sport high school teenage girl cheerleading,2000,bring it on,peytonreed,jessicabendinger,"kirstendunst,elizadushku,jessebradford,gabrielleunion"
2980,Action Horror Thriller,dystopia sequel legalized murder,2016,the purge: election year,jamesdemonaco,jamesdemonaco,"frankgrillo,elizabethmitchell,mykeltiwilliamson,josephjuliansoria"
2981,Comedy Romance,tv star jeep volleyball misfit teen angst,1999,she's all that,robertiscove,r.leeflemingjr.,"freddieprinzejr.,rachaelleighcook,matthewlillard,paulwalker"
2982,Horror Thriller Crime,ice victim pain games psychopath,2007,saw iv,darrenlynnbousman,"patrickmelton ,marcusdunstan ,patrickmelton ,marcusdunstan ,thomasfenton ","tobinbell,costasmandylor,scottpatterson,betsyrussell"
2983,Drama Horror Thriller,wheelchair time voice inspector supernatural,2005,white noise,geoffreysax,nialljohnson,"michaelkeaton,chandrawest,deborahkaraunger,ianmcneice"
2984,Drama Comedy Romance,spanking based on play,2006,madea's family reunion,tylerperry,"tylerperry,tylerperry(play)","tylerperry,blairunderwood,lynnwhitfield,boriskodjoe"
2985,Drama,bar billard talent hustler sport,1986,the color of money,martinscorsese,"waltertevis ,richardprice ","paulnewman,tomcruise,maryelizabethmastrantonio,helenshaver"
2986,Action Drama History War,world war ii normandy allied widerstand steel helmet,1962,the longest day,"kenannakin,andrewmarton,gerdoswald,bernhardwicki,darrylf.zanuck","corneliusryan ,corneliusryan(book),romaingary(additionalepisodeswrittenby),jamesjones(additionalepisodeswrittenby),davidpursall(additionalepisodeswrittenby),jackseddon(additionalepisodeswrittenby)","eddiealbert,paulanka,arletty,jean-louisbarrault"
2987,Comedy Family,sports team sport ice hockey hockey game winning,1992,the mighty ducks,stephenherek,stevenbrill,"emilioestevez,jossackland,lanesmith,heidikling"
